"id","lottery","z1","z2","p1","ce","female","semester","highincome"
22,3,55,20,0.05,27.875,0,1,0
22,5,20,7,0.05,11.225,0,1,0
22,6,15,4,0.25,7.575,0,1,0
22,8,-4,-15,0.95,-7.025,0,1,0
22,10,-4,-15,0.25,-11.975,0,1,0
22,14,15,4,0.75,10.325,0,1,0
22,18,-4,-7,0.5,-5.275,0,1,0
22,19,-4,-15,0.05,-11.975,0,1,0
22,26,-7,-20,0.25,-17.075,0,1,0
22,30,7,4,0.5,5.425,0,1,0
22,31,15,4,0.95,12.525,0,1,0
22,36,-7,-20,0.95,-9.925,0,1,0
22,40,15,4,0.5,8.675,0,1,0
22,41,-7,-20,0.75,-11.225,0,1,0
22,45,7,4,0.1,4.675,0,1,0
22,47,-4,-7,0.9,-4.525,0,1,0
22,48,-7,-20,0.05,-16.425,0,1,0
22,51,20,7,0.75,12.525,0,1,0
22,58,20,7,0.25,11.225,0,1,0
22,59,-20,-55,0.05,-47.125,0,1,0
22,64,-4,-7,0.1,-6.025,0,1,0
22,66,-7,-20,0.5,-12.525,0,1,0
22,67,7,4,0.9,6.325,0,1,0
22,68,20,7,0.95,17.725,0,1,0
22,72,-4,-15,0.5,-9.225,0,1,0
22,74,20,7,0.5,13.825,0,1,0
22,80,-4,-15,0.75,-6.475,0,1,0
23,2,15,4,0.05,8.675,1,1,0
23,3,55,20,0.05,26.125,1,1,0
23,5,20,7,0.05,10.575,1,1,0
23,6,15,4,0.25,6.475,1,1,0
23,8,-4,-15,0.95,-5.925,1,1,0
23,10,-4,-15,0.25,-11.975,1,1,0
23,14,15,4,0.75,9.775,1,1,0
23,18,-4,-7,0.5,-5.575,1,1,0
23,19,-4,-15,0.05,-11.425,1,1,0
23,26,-7,-20,0.25,-17.075,1,1,0
23,30,7,4,0.5,5.125,1,1,0
23,31,15,4,0.95,11.975,1,1,0
23,36,-7,-20,0.95,-12.525,1,1,0
23,40,15,4,0.5,8.675,1,1,0
23,41,-7,-20,0.75,-13.825,1,1,0
23,45,7,4,0.1,4.675,1,1,0
23,47,-4,-7,0.9,-4.975,1,1,0
23,48,-7,-20,0.05,-15.775,1,1,0
23,51,20,7,0.75,15.125,1,1,0
23,58,20,7,0.25,9.925,1,1,0
23,59,-20,-55,0.05,-43.625,1,1,0
23,64,-4,-7,0.1,-6.025,1,1,0
23,66,-7,-20,0.5,-13.825,1,1,0
23,67,7,4,0.9,6.325,1,1,0
23,68,20,7,0.95,17.075,1,1,0
23,72,-4,-15,0.5,-9.775,1,1,0
23,74,20,7,0.5,13.175,1,1,0
23,80,-4,-15,0.75,-8.675,1,1,0
24,2,15,4,0.05,6.475,1,1,0
24,3,55,20,0.05,29.625,1,1,0
