"gid","sid","dg","order","self_x","self_y","other_x","other_y","choice_x","q","v","s_y","s_x","r_y","r_x","self_z","other_z","pos_reciproc","drop","bf_consciousness","bf_openness","bf_extraversion","bf_agreeableness","bf_neuroticism","pe_D1_stud_natsci","pe_D1_stud_law","pe_D1_stud_socsci","pe_D1_stud_med","cogabil","pe_age","pe_female","pe_monthinc"
10,172010050704,0,14,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,5,25,6,5,8,1,0,0,0,8,23,0,1000
10,172010050705,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,24,1,9,9,1,0,0,0,6,22,1,300
10,172010050706,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,13,23,11,10,10,1,0,0,0,9,20,1,400
10,182010050501,0,30,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,17,6,4,12,0,0,0,1,10,20,1,500
10,182010050502,0,41,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,19,6,8,1,0,0,0,1,6,20,0,200
10,182010050603,0,31,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,1,24,4,1,9,0,0,0,0,7,22,0,900
10,182010050704,0,21,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,18,8,9,-1,1,0,0,0,6,21,0,500
10,182010050705,0,6,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,19,12,6,9,1,0,0,0,4,20,1,600
10,182010050706,0,29,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,23,5,10,-2,1,0,0,0,10,24,0,250
10,192010050501,0,26,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,23,7,12,2,1,0,0,0,8,21,1,50
10,192010050502,0,19,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,9,14,13,5,7,1,0,0,0,7,21,1,800
10,192010050603,0,48,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,0,6,18,5,6,5,1,0,0,0,2,20,1,500
10,192010050704,0,42,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,28,12,13,-1,0,0,0,0,6,23,1,1300
10,192010050705,0,38,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,20,1,8,9,0,0,0,0,8,21,1,200
10,192010050706,0,18,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,23,3,3,10,1,0,0,0,2,21,1,250
10,202010050501,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,24,11,9,8,0,1,0,0,8,27,1,700
10,202010050502,0,35,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,-3,17,-1,6,3,1,0,0,0,7,21,0,1300
10,202010050704,0,45,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,5,21,4,9,7,1,0,0,0,10,21,0,350
10,202010050705,0,37,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,22,7,8,2,1,0,0,0,8,21,0,550
10,202010050706,0,31,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,21,6,12,6,0,0,0,1,7,19,0,100
10,212010050501,0,16,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,20,13,5,0,0,0,0,1,5,22,1,500
10,212010050502,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,12,16,8,10,9,1,0,0,0,6,20,1,150
10,212010050704,0,52,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,3,18,6,5,-1,1,0,0,0,7,21,1,200
10,212010050705,0,10,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,24,0,11,8,0,0,0,1,6,32,0,1000
10,212010050706,0,39,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,20,5,8,5,1,0,0,0,6,21,1,300
10,222010050501,0,31,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,4,17,3,8,1,1,0,0,0,8,22,0,500
10,222010050502,0,43,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,-2,25,13,10,7,0,1,0,0,10,20,1,1050
10,222010050704,0,47,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,24,12,11,7,1,0,0,0,5,20,0,220
10,222010050705,0,51,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,25,8,7,3,0,0,0,1,5,20,1,800
